epoch,dice_coef,loss,mean_io_u_1,precision_1,recall_1,val_dice_coef,val_loss,val_mean_io_u_1,val_precision_1,val_recall_1
0,0.37459301948547363,0.6254066824913025,0.41407009959220886,0.4274701774120331,0.8112426400184631,0.4532666504383087,0.5467333197593689,0.4225282669067383,0.6494871377944946,0.7588258385658264
1,0.43747663497924805,0.5625231862068176,0.41407015919685364,0.5542194843292236,0.8205446600914001,0.46153685450553894,0.5384631752967834,0.4409448206424713,0.5831339359283447,0.901667594909668
2,0.49068695306777954,0.5093133449554443,0.41407132148742676,0.6541813015937805,0.826558530330658,0.5198730826377869,0.48012688755989075,0.4409448206424713,0.6594434976577759,0.8638895750045776
3,0.5411862730979919,0.45881354808807373,0.4140716791152954,0.7266331315040588,0.8309513330459595,0.5800518989562988,0.41994810104370117,0.4409448206424713,0.7279713749885559,0.8976470232009888
4,0.5896064043045044,0.4103938937187195,0.41407257318496704,0.7840404510498047,0.8318631649017334,0.628990650177002,0.37100932002067566,0.4409448206424713,0.7526319622993469,0.8769598007202148
5,0.6352825164794922,0.3647174537181854,0.414079874753952,0.8282126188278198,0.8376714587211609,0.6676780581474304,0.33232197165489197,0.4409448206424713,0.7595924735069275,0.8600743412971497
6,0.6778352856636047,0.32216522097587585,0.4141247272491455,0.8608022332191467,0.8419728875160217,0.7198129296302795,0.28018704056739807,0.4409448206424713,0.8593230247497559,0.8336473107337952
7,0.7157585620880127,0.2842410206794739,0.41437166929244995,0.8881223201751709,0.8442919850349426,0.7182559370994568,0.281744122505188,0.4409448206424713,0.9013778567314148,0.7558667063713074
8,0.7500505447387695,0.24994805455207825,0.41496309638023376,0.9090693593025208,0.8502183556556702,0.7729929089546204,0.22700710594654083,0.4409448206424713,0.909218966960907,0.7847980856895447
9,0.7789823412895203,0.2210189700126648,0.41609030961990356,0.9216104745864868,0.8541494011878967,0.7969172596931458,0.20308272540569305,0.4409448206424713,0.8512699604034424,0.8328644037246704
