epoch,dice_coef,loss,mean_io_u,precision,recall,val_dice_coef,val_loss,val_mean_io_u,val_precision,val_recall
0,0.4963187277317047,0.5036813616752625,0.5617038607597351,0.46318361163139343,0.6468083262443542,0.49297332763671875,0.5070266127586365,0.5124256014823914,0.705219566822052,0.34941932559013367
1,0.5743473172187805,0.42565280199050903,0.6135339736938477,0.5805924534797668,0.6444085836410522,0.6557318568229675,0.3442681133747101,0.6990600228309631,0.5883161425590515,0.7619381546974182
2,0.6394025683403015,0.3605969250202179,0.6530438661575317,0.6563630104064941,0.6689720153808594,0.7384188175201416,0.2615811824798584,0.6860821843147278,0.8529626131057739,0.6042065024375916
3,0.6991354823112488,0.3008630871772766,0.6969764232635498,0.7244784235954285,0.703538179397583,0.6917023658752441,0.3082975745201111,0.6413016319274902,0.8907926082611084,0.5047572255134583
4,0.7457199692726135,0.254280686378479,0.7325087189674377,0.7791568636894226,0.7299511432647705,0.7178413271903992,0.28215864300727844,0.6582430005073547,0.8938400745391846,0.5478847026824951
5,0.7807291150093079,0.21927009522914886,0.7584326267242432,0.807844340801239,0.7550700902938843,0.7925587296485901,0.2074412852525711,0.762121319770813,0.8084558844566345,0.7472299337387085
6,0.8070437908172607,0.19295528531074524,0.7823992967605591,0.8392840027809143,0.7723995447158813,0.7905125617980957,0.20948737859725952,0.7282431721687317,0.9087838530540466,0.6550253629684448
7,0.8288751244544983,0.17112426459789276,0.8008240461349487,0.8588664531707764,0.791697084903717,0.7538027763366699,0.24619726836681366,0.725345253944397,0.8942831754684448,0.6205753087997437
8,0.8473650217056274,0.15263421833515167,0.8173311948776245,0.8768271207809448,0.8056850433349609,0.8111655116081238,0.18883450329303741,0.7797022461891174,0.9146504402160645,0.6943646669387817
9,0.8627638220787048,0.13723579049110413,0.8315965533256531,0.8902065753936768,0.8185535073280334,0.817108690738678,0.18289124965667725,0.7545362710952759,0.9369149208068848,0.6774047017097473
