epoch,dice_coef,loss,mean_io_u,precision,recall,val_dice_coef,val_loss,val_mean_io_u,val_precision,val_recall
0,0.3636420667171478,0.6363581418991089,0.414070188999176,0.3999481499195099,0.8018467426300049,0.41403302550315857,0.585966944694519,0.4225282669067383,0.4505125880241394,0.8307645916938782
1,0.412610799074173,0.5873891711235046,0.4140702188014984,0.4796234369277954,0.7977275252342224,0.4081084728240967,0.5918915271759033,0.4409448206424713,0.4370047152042389,0.8476651310920715
2,0.4564987123012543,0.543501615524292,0.4140700697898865,0.5473295450210571,0.7901854515075684,0.4616938531398773,0.5383061766624451,0.4409448206424713,0.5433728694915771,0.8111822605133057
3,0.5002602338790894,0.49973994493484497,0.41407015919685364,0.6086960434913635,0.7908391356468201,0.5185949206352234,0.4814050495624542,0.4409448206424713,0.5965230464935303,0.8208546042442322
4,0.5429025292396545,0.4570969045162201,0.41407015919685364,0.6649486422538757,0.7926416993141174,0.542625367641449,0.4573746621608734,0.4409448206424713,0.5714966058731079,0.8313076496124268
5,0.5834596157073975,0.416540265083313,0.41407132148742676,0.7140669226646423,0.7942568063735962,0.5894366502761841,0.4105633497238159,0.4409448206424713,0.7055052518844604,0.7304753065109253
6,0.6223539113998413,0.3776460587978363,0.41409000754356384,0.7543923258781433,0.7985746264457703,0.6363152265548706,0.3636847734451294,0.4409448206424713,0.6857341527938843,0.7954000234603882
7,0.6585465669631958,0.3414534628391266,0.41413047909736633,0.7919590473175049,0.8005523681640625,0.6722955703735352,0.32770445942878723,0.4409448206424713,0.7301371097564697,0.791828453540802
8,0.6916808485984802,0.3083195984363556,0.41429099440574646,0.8216029405593872,0.8059471845626831,0.7149149775505066,0.285084992647171,0.4409448206424713,0.8357043266296387,0.7411697506904602
9,0.7204737067222595,0.2795273959636688,0.4148346483707428,0.8441165089607239,0.8086792826652527,0.752147912979126,0.2478521317243576,0.4409448206424713,0.8712688088417053,0.7545062303543091
